state_name,year,total_requirement_mu,total_availability_mu,total_deficit_mu,total_gen_mu,avg_capacity_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,avg_coal_stock_days,avg_normative_coal_stock_days,avg_req_normative_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,avg_actual_coal_stock_tonnes,total_coal_stock_critical_incidents,yearly_avg_total_outage_mw,yearly_avg_fresh_outage_mw,total_energy_lost_mwh,total_fresh_incidents,avg_total_capacity_mw,avg_thermal_capacity_mw,avg_nuclear_capacity__mw,avg_hydro_capacity__mw,avg_res_capacity_mw,coal_reserves_mt,coal_production_mt,coal_consumption_power_mt,total_coal_import_mt,avg_import_priceRs,total_amountCr
jammu and kashmir,2022,,,,17056.9,321.36363636363643,1.98,0.0,0.0,1.98,,,,,,,,,,,,,653.0844534050179,653.0844534050179,5707800.0,132.0,3727.746666666666,175.0,0.0,3360.0,192.74666666666664,27.55,0.01,,211.45999999999998,19423.888600000002,236924.82999999987
puducherry,2018,,,,243.33,32.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,12.0,33.5575,32.5,1.0575,0.0,0.0,416.61,,,212.82999999999998,11956.519459459461,147641.1
mizoram,2024,,,,246.07999999999996,60.0,37.699999999999996,37.699999999999996,0.0,0.0,,,,,,,,,,,,,7.997311827956991,7.997311827956991,52560.0,12.0,135.8044444444444,0.0,0.0,60.0,75.80444444444443,,,,,,
rajasthan,2017,,,,18248.219999999994,231.54437499999986,,,,,,,,,,,,,,,,,4022.31568362996,1080.544502688172,11586610.800000004,310.0,17742.68,9523.13,6628.55,1180.0,411.0,5735.98,8.48,25.43,195.33,9115.735294117645,105676.64000000001
manipur,2025,,,,57.83,70.5,,,,,,,,,,,,,,,,,25.022776148582604,25.022776148582604,44520.0,6.0,,,,,,,,,,,
maharashtra,2024,,,,143635.2100000001,329.7422001008063,11974.519999999999,5285.820000000001,6688.7,0.0,,23.583333333333332,354.6016419666512,36.51993257134873,157.51821831826015,29.968533602822237,31.10024414943066,94723.92999999998,95426.38999999997,126254.28000000035,194.03846242335814,608.0,8093.923205846,3891.652260381906,66759874.55999999,1508.0,46484.69222222223,27213.09,1400.0,3047.0,14824.602222222224,,,,,,
puducherry,2017,,,,78.15000000000003,32.5,,,,,,,,,,,,,,,,,,,,4.0,32.55,32.5,0.05,0.0,0.0,416.61,,,195.33,9115.735294117645,105676.64000000001
tripura,2018,,,,6398.720000000003,226.41999999999993,,,,,,,,,,,,,,,,,74.97894265232975,74.97894265232975,657854.4,60.0,1153.2,1132.1000000000001,21.099999999999998,0.0,0.0,,,,212.82999999999998,11956.519459459461,147641.1
bhutan,2023,,,,11025.519999999999,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,60.0,,,,,,,,,241.26999999999998,24663.886199999997,397159.38
ladakh,2025,,,,42.829999999999984,44.5,,,,,,,,,,,,,,,,,88.83870967741935,88.83870967741935,166248.0,6.0,,,,,,,,,,,
