state_name,join_date,energy_requirement,energy_availability,deficit_mu,deficit_pct,total_gen_actual_mu,total_gen_program_mu,avg_monitored_cap_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,cap_coal_mw,cap_gas_mw,cap_diesel_mw,cap_lignite_mw,cap_nuclear_mw,cap_hydro_mw,cap_res_mw,total_thermal_mw,total_capacity_mw,avg_total_outage_mw,avg_fresh_outage_mw,total_energy_lost_mwh,total_incidents_count,fresh_incidents_count,avg_coal_stock_days,avg_coal_normative_stock_days,avg_req_normative_coal_stock_tonnes,avg_actual_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,coal_stock_critical_incidents,year,month_num,month_start_date
kerala,2018-05-01,,,,,582.4899999999999,528.24,151.4729411764706,0.0,,,,0.0,533.5799999999999,159.96,0.0,379.46000000000004,0.0,1881.5,693.54,2954.5,538.7903225806451,538.7903225806451,400860.0,17.0,17.0,,,,,,,,,,,,,2018,5,2018-05-01
madhya pradesh,2025-04-01,,,,,9486.279999999999,9869.2,403.9166666666667,0.0,,,,,,,,,,,,,3127.2727272727275,3127.2727272727275,1651200.0,60.0,60.0,,,,,,,,,,,,,2025,4,2025-04-01
nagaland,2024-09-01,,,,,45.41,44.099999999999994,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,35.84,0.0,110.84,1.6666666666666667,1.6666666666666667,1200.0,1.0,1.0,,,,,,,,,,,,,2024,9,2024-09-01
ladakh,2023-08-01,,,,,66.94000000000001,62.93000000000002,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,48.79,0.0,137.79,58.12903225806452,58.12903225806452,43248.0,2.0,2.0,,,,,,,,,,,,,2023,8,2023-08-01
rajasthan,2019-04-01,,,,,4208.320000000001,5428.0599999999995,231.52260000000007,0.0,,,,9160.0,1023.1299999999999,0.0,0.0,7669.660000000001,1180.0,411.0,10183.13,19443.79,4491.763333333332,1266.9299999999998,3234069.599999999,105.0,87.0,14.341666666666667,30.0,0.0,165.49249999999998,163.99125000000006,1.5012499999999998,56.97499999999997,,0.0,0.0,1525.0199999999998,0.0,2019,4,2019-04-01
goa,2024-10-01,,,,,0.0,0.0,48.0,0.0,0.0,0.0,0.0,,,,,,,,,,48.0,48.0,35712.0,1.0,1.0,,,,,,,,,,,,,2024,10,2024-10-01
rajasthan,2024-05-01,,,,,6422.63,6080.38,252.71377358490557,5359.53,4573.280000000001,775.5699999999999,10.680000000000003,9200.0,1022.8299999999999,0.0,1580.0,1180.0,411.0,27526.039999999997,11802.83,40919.869999999995,3132.670322580645,1257.3477419354838,2330706.7199999997,96.0,87.0,,26.0,353.8499999999998,120.28028673835125,106.08960573476705,14.190752688172044,0.7835125448028674,0.2929390681003584,3246.2200000000003,3402.13,3797.189999999997,143.0,2024,5,2024-05-01
telangana,2025-04-01,,,,,3987.3499999999995,4875.199999999999,372.0029411764707,0.0,,,,,,,,,,,,,1298.1363636363637,1298.1363636363637,685416.0,34.0,34.0,,,,,,,,,,,,,2025,4,2025-04-01
mizoram,2018-03-01,,,,,5.1,13.02,60.0,0.0,,,,0.0,0.0,0.0,0.0,36.67,0.0,60.0,0.0,96.67,0.0,,,1.0,1.0,,,,,,,,,,,,,2018,3,2018-03-01
ladakh,2024-06-01,,,,,59.47,56.100000000000016,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,50.79,0.0,139.79,69.56666666666666,69.56666666666666,50088.0,2.0,2.0,,,,,,,,,,,,,2024,6,2024-06-01
